"rank","country","crimeIndex","pop2023"
1,"Venezuela",83.76,28838499
2,"Papua New Guinea",80.79,10329931
3,"South Africa",76.86,60414495
4,"Afghanistan",76.31,42239854
5,"Honduras",74.54,10593798
6,"Guyana",68.74,813834
7,"El Salvador",67.79,6364943
8,"Brazil",67.49,216422446
9,"Jamaica",67.42,2825544
10,"Syria",67.18,23227014
11,"Peru",66.72,34352719
12,"Angola",66.48,36684202
13,"Cameroon",65.24,28647293
14,"Namibia",65.21,2604172
15,"Nigeria",64.06,223804632
16,"Bangladesh",63.9,172954319
17,"Argentina",63.82,45773884
18,"Puerto Rico",62.84,3260314
19,"Bahamas",62.06,412623
20,"Libya",61.78,6888388
21,"Dominican Republic",61.02,11332972
22,"Kenya",60.14,55100586
23,"Belarus",59.58,9498238
24,"Zimbabwe",59.3,16665409
25,"Guatemala",58.67,18092026
26,"Bolivia",57.77,12388571
27,"Fiji",57.62,936375
28,"Malaysia",57.29,34308525
29,"Colombia",56.87,52085168
30,"Kyrgyzstan",56.87,6735347
31,"Uganda",56.12,48582334
32,"Somalia",56.04,18143378
33,"Mongolia",56.01,3447157
34,"Tanzania",56,67438106
35,"Maldives",55.34,521020.99999999994
36,"Ecuador",55.23,18190484
37,"Costa Rica",54.22,5212173
38,"Mexico",54.19,128455567
39,"Kazakhstan",53.77,19606633
40,"Chile",53.42,19629590
41,"Botswana",52.98,2675352
42,"Algeria",52.03,45606480
43,"France",51.99,64756584
44,"Uruguay",51.73,3423108
45,"Cambodia",51.13,16944826
46,"Belize",50.39,410825
47,"Iran",49.38,89172767
48,"Paraguay",49.37,6861524
49,"Ethiopia",49.3,126527060
50,"Mauritius",48.88,1300557
51,"Morocco",48.66,37840044
52,"Iraq",48.42,45504560
53,"Sweden",48,10612086
54,"Nicaragua",47.89,7046310
55,"United States",47.81,339996563
56,"Ukraine",47.42,36744634
57,"Ghana",46.98,34121985
58,"Egypt",46.83,112716598
59,"Lebanon",46.77,5353930
60,"Myanmar",46.51,54577997
61,"Moldova",46.35,3435931
62,"Vietnam",46.19,98858950
63,"United Kingdom",46.07,67736802
64,"Indonesia",45.93,277534122
65,"Greece",45.85,10341277
66,"Ireland",45.51,5056935
67,"Panama",45.15,4468087
68,"Italy",44.85,58870762
69,"Belgium",44.58,11686140
70,"India",44.43,1428627663
71,"Palestine",43.74,5371230
72,"Tunisia",43.69,12458223
73,"Zambia",43.62,20569737
74,"Australia",43.03,26439111
75,"New Zealand",42.88,5228100
76,"Albania",42.53,2832439
77,"Pakistan",42.51,240485658
78,"Philippines",42.46,117337368
79,"Sudan",42.34,48109006
80,"Canada",41.89,38781291
81,"Sri Lanka",41.39,21893579
82,"Montenegro",41.18,626485
83,"Malta",40.39,535064
84,"Russia",39.99,144444359
85,"Jordan",39.96,11337052
86,"Turkey",39.62,85816199
87,"Thailand",39.35,71801279
88,"North Macedonia",39.12,2085679
89,"Latvia",38.77,1830211
90,"Bulgaria",38.21,6687717
91,"Serbia",38.1,7149077
92,"Nepal",36.01,30896590
93,"Germany",35.79,83294633
94,"Hungary",34.36,10156239
95,"Luxembourg",34.13,654768
96,"Norway",33.72,5474360
97,"Uzbekistan",33.42,35163944
98,"Kuwait",33.42,4310108
99,"Lithuania",33.42,2718352
100,"Spain",33.32,47519628
101,"Azerbaijan",32.02,10412651
102,"Israel",31.47,9174520
103,"Cyprus",31.28,1260138
104,"Poland",30.5,41026067
105,"Slovakia",30.37,5795199
106,"China",30.14,1425671352
107,"Portugal",29.91,10247605
108,"Brunei",29,452524
109,"Cuba",28.33,11194449
110,"Romania",28.3,19892812
111,"Singapore",27.96,6014723
112,"Finland",27.59,5545475
113,"Netherlands",27.16,17618299
114,"South Korea",26.68,51784059
115,"Denmark",26.22,5910913
116,"Bahrain",25.64,1485509
117,"Austria",25.54,8958960
118,"Czech Republic",25.52,10495295
119,"Saudi Arabia",25.23,36947025
120,"Rwanda",24.89,14094683
121,"Croatia",24.59,4008617
122,"Iceland",23.75,375318
123,"Estonia",23.71,1322765
124,"Georgia",23.38,3728282
125,"Armenia",22.79,2777970
126,"Slovenia",22.28,2119675
127,"Japan",22.19,123294513
128,"Hong Kong",22,7491609
129,"Switzerland",21.62,8796669
130,"Oman",20.34,4644384
131,"Taiwan",15.46,23923276
132,"United Arab Emirates",15.23,9516871
133,"Qatar",12.13,2716391
